Commit SHA,Author,Date,Commit Message
a4911d136a497abcd8fdf4101aa57f96833a3374,Isao Kozakai,2021-10-25,[OE-1767] Prevent PurchaseOrderShares from having duplicate border bottom (#890)
7053d4800a9f01bd4755f914fde363d9923e652f,Svetlana Ivanova,2021-10-25,update dependencies to latest
c6999c9ddc7cad686fde89a6411b6a656afe104f,Isao Kozakai,2021-10-25,[OE-1767] As user I want to be able to share my PO with my partners (#889)
943f4d76b10be04e1493636ac034aa3398572f74,Viatcheslav Ivanov,2021-10-20,[OE-1794] Translate languages to native in language selector
a3162f3997e41f0323007fda664a9994c8406c50,Svetlana Ivanova,2021-10-19,[OE-1819] Pagination not working in Products Page
5a37fb014951f2c59d37c51a91ea1d23dee571ac,Isao Kozakai,2021-10-15,Put Dialogs for invoices out of the main components (#888)
325127df3950a254ea8bd296a8618861f13f8cd8,Isao Kozakai,2021-10-13,[OE-1483] Fix bugs (#887)
b3c96d5f9489671d617f0f34f51d75875fc4dbb4,Isao Kozakai,2021-10-13,Modify code to remove errors and warnings (#886)
3e3f05a3bf75c7466ea2a3b2d5ea0f95d81a5f63,Isao Kozakai,2021-10-13,Remove actionType from invoice (#885)
632537345c28530f81fbf21e575a48ee0d99f251,Svetlana Ivanova,2021-10-12,[OE-1797] As vendor I want to provide quote expiry when bidding for RFQ (#884)
40ce0a3f27b218487be1cae701b9673f1966a792,Svetlana Ivanova,2021-10-12,Refactor Chip components into @omnae/ui/core library (#883)
25c63a3323d1751debd324280ebe2f78a26e4b12,Isao Kozakai,2021-10-12,[OE-146] Make the private routes an array because it didn't work with React Fragment (#882)
b37b07b17ceda0ea84b632fa854e0030c2658d17,Viatcheslav Ivanov,2021-10-12,Merge branch 'main' of github.com:omnae/omnae-app into main
67a246fd87cc58be774ad702b6d3c8466d96374f,Viatcheslav Ivanov,2021-10-12,update localization to latest
fcb6e49d480e01a82bd2a9e1e4ce494fe309d375,Isao Kozakai,2021-10-12,[OE-146] As a customer I want to see my partner's POs with shared products (#880)
dd443d36c2414bc39b6e820aa9578cdfa599ddb5,Svetlana Ivanova,2021-10-08,[OE-1708] As customer I want to see only one product in products list for same partNum-rev but different vendors
07d8b337d54c36a69a8d8540dca224abfba16d80,Viatcheslav Ivanov,2021-10-07,refactor: enable dashboard and cleanup old feature flags
50573012c06818c978fb9773a97e039628a6e413,Svetlana Ivanova,2021-10-06,fix: not able to submit a bid for RFQ due to files key format
133021e10673544777f53697c5083f1cbd2afff0,Isao Kozakai,2021-10-06,[OE-1811] Put setLoading in finally in ApproveRFQDialog (#879)
fa594a222e76fbe2f817972a817ec835d48bd5d4,Isao Kozakai,2021-10-05,"[OE-1753] Add new conditions to useEffect, so it refreshes shopping details (#878)"
26c752a72cfdd83c6272fade1326187a2cc89bcf,Isao Kozakai,2021-10-05,[OE-1719] Replace StatusItem component with Chip component (#877)
d161875aecdb9589d5ce36ae447e44f2706efc33,Viatcheslav Ivanov,2021-10-04,update localization to latest
b117c1b02757e8686a1575ac7ae3346d9d7f5dea,Svetlana Ivanova,2021-10-04,chore: update dependencies to latest
bd4d5a6fa415e8cc05e1a1c631feef49618bf87e,Isao Kozakai,2021-10-04,[OE-1717] Include production and tooling deposits into shipment and production run invoices to reduce their amount by deposits  (#875)
0781ea8d5ca1e63f9629d5408b9c358dd005a7b2,Viatcheslav Ivanov,2021-09-27,update localization
42a9b2f234d788c4fabec0d44ff5c8fbf6202dcd,Isao Kozakai,2021-09-27,[OE-1703] As user I want to set my company's default currency in company settings (#872)
3c952d12697a835dd43ef89d42c535d30d4331e3,,2021-09-27,update dependencies (#873)
1a82749e3763ca7dc6e315a1e01f1e5fce6a227b,,2021-09-27,Bump tmpl from 1.0.4 to 1.0.5 (#869)
f9f6803341399087fd59d51f4b5155cd1657beea,,2021-09-27,Bump nth-check from 2.0.0 to 2.0.1 (#871)
a19a8cfe3e3e96bcb5dbf199a3ebeaa08bbbfb09,Isao Kozakai,2021-09-27,[OE-1072] PO Dashboard-> PO Proposed alternative changes status bar is incorrect for the vendor and customer(#874)
77aaf8f4e15c7dd56defafde62f205af6e6740d4,Svetlana Ivanova,2021-09-24,[OE-1765] User should be able to add design files to existing product without drawings
3e522f9c8980786bc69bc495ec0c6735be649832,Isao Kozakai,2021-09-22,[OE-1784] Renew ManageAccount (#870)
e049e6310dfa647956d8bb56bdaa982a797ddc0b,Viatcheslav Ivanov,2021-09-21,[OE-1712] As user I want to disconnect my QBO account from Omnae
03bed5bced7b54f0a04095e4b8221465ef112cf3,Viatcheslav Ivanov,2021-09-21,[OE-1714] As user I want to list my connections (only QBO)
f7ce1de099066622877cf8a5ac3a8ba4a5fcede0,Isao Kozakai,2021-09-20,[OE-1489] As vendor I want to edit PO invoice number if not sent to customer (#868)
3a2131acb381cf9c59a65433d6bcf036e682d9cd,Viatcheslav Ivanov,2021-09-20,Merge branch 'main' of github.com:omnae/omnae-app into main
bbb112dba2135e7529872e0ed6385fdc6cc67842,Viatcheslav Ivanov,2021-09-20,chore: update localization
eacf453e2022d720b6e3827de0f4e32bd07a01e1,,2021-09-20,update dependencies (#867)
394cd9dae7d8b5f928aa2ec4976e0856d210a514,Svetlana Ivanova,2021-09-19,"[OE-1707,OE-1761] As user I want to see total invoices in different states on Dashboard"
4c8cb7f0dc15d80af42310690945f2a3cdcddf29,Viatcheslav Ivanov,2021-09-14,[OE-1777] As user I want to Omnae to support Italian language
ad78c9bfdccaa7a60b60ce82e67a929bcef480fc,,2021-09-13,update dependencies (#866)
6c23cd093563b1dc36945afe4638f375381423e1,Viatcheslav Ivanov,2021-09-13,chore: update localization
